asset,date,br
2,2014,0
2,2015,0
2,2016,0
2,2017,0
2,2018,0
2,2019,0
2,2020,0
2,2021,0
4,2014,0
4,2015,0
4,2016,0
4,2017,0
4,2018,0
4,2019,0
4,2020,0
4,2021,0
5,2014,0
5,2015,2.25E-05
5,2016,2.28E-05
5,2017,3.39E-05
5,2018,2.36E-05
5,2019,1.03E-05
5,2020,0
5,2021,0
6,2014,0
6,2015,0
6,2016,0
6,2017,0
6,2018,1.28E-05
6,2019,0
6,2020,0
6,2021,0
7,2014,0
7,2015,0
7,2016,0
7,2017,0
7,2018,0
7,2019,0
7,2020,0
7,2021,0
8,2014,0
8,2015,5.07E-05
8,2016,5.16E-05
8,2017,2.09E-05
8,2018,1.97E-05
8,2019,9.54E-06
8,2020,0
8,2021,0
9,2014,0
9,2015,0
9,2016,0
9,2017,0
9,2018,0
9,2019,0
9,2020,0
9,2021,0
10,2014,0
10,2015,0
10,2016,0
10,2017,0
10,2018,1.01E-05
10,2019,0
10,2020,1.80E-05
10,2021,0
11,2014,0
11,2015,0
11,2016,0
11,2017,0
11,2018,0
11,2019,1.30E-05
11,2020,1.34E-05
11,2021,0
12,2014,0
12,2015,0
12,2016,3.83E-05
12,2017,1.35E-05
12,2018,2.57E-05
12,2019,1.19E-05
12,2020,1.15E-05
12,2021,0
14,2014,0
14,2015,0
14,2016,0
14,2017,0
14,2018,0
14,2019,0
14,2020,0
14,2021,0
16,2014,0
16,2015,0
16,2016,0
16,2017,0
16,2018,1.93E-05
16,2019,0
16,2020,0
16,2021,0
17,2014,0
17,2015,0
17,2016,0
17,2017,0
17,2018,0
17,2019,0
17,2020,0
17,2021,0
19,2014,0
19,2015,0
19,2016,0
19,2017,0
19,2018,0
19,2019,1.91E-05
19,2020,9.81E-06
19,2021,0
20,2014,0
20,2015,0
20,2016,0
20,2017,0
20,2018,0
20,2019,0
20,2020,0
20,2021,0
21,2014,0
21,2015,1.19E-05
21,2016,2.51E-05
21,2017,1.08E-05
21,2018,0
21,2019,0
21,2020,0
21,2021,0
23,2014,0
23,2015,0
23,2016,0
23,2017,0
23,2018,0
23,2019,9.22E-06
23,2020,0
23,2021,0
25,2014,0
25,2015,0
25,2016,0
25,2017,0
25,2018,0
25,2019,0
25,2020,0
25,2021,0
26,2014,0
26,2015,0
26,2016,0
26,2017,0
26,2018,0
26,2019,0
26,2020,0
26,2021,0
27,2014,0
27,2015,0
27,2016,0
27,2017,0
27,2018,0
27,2019,0
27,2020,0
27,2021,0
28,2014,0
28,2015,0
28,2016,0
28,2017,0
28,2018,0
28,2019,0
28,2020,0
28,2021,0
29,2014,0
29,2015,0
29,2016,0
29,2017,0
29,2018,0
29,2019,0
29,2020,0
29,2021,0
30,2014,0
30,2015,0
30,2016,0
30,2017,0
30,2018,0
30,2019,0
30,2020,0
30,2021,0
31,2014,0
31,2015,7.79E-06
31,2016,0
31,2017,2.67E-05
31,2018,5.92E-06
31,2019,0
31,2020,0
31,2021,0
32,2014,0
32,2015,0
32,2016,4.68E-05
32,2017,3.23E-05
32,2018,1.89E-05
32,2019,1.97E-05
32,2020,1.74E-05
32,2021,0
34,2014,0
34,2015,0
34,2016,0
34,2017,0
34,2018,0
34,2019,0
34,2020,0
34,2021,0
35,2014,0
35,2015,1.29E-05
35,2016,0
35,2017,8.81E-06
35,2018,1.59E-05
35,2019,4.22E-05
35,2020,2.83E-05
35,2021,1.70E-05
36,2014,0
36,2015,0
36,2016,2.48E-05
36,2017,0
36,2018,0
36,2019,0
36,2020,0
36,2021,0
37,2014,0
37,2015,0
37,2016,0
37,2017,0
37,2018,0
37,2019,3.32E-05
37,2020,0
37,2021,0
39,2014,0
39,2015,4.54E-05
39,2016,2.01E-05
39,2017,3.19E-05
39,2018,2.48E-05
39,2019,0
39,2020,1.14E-05
39,2021,0
40,2014,0
40,2015,0
40,2016,0
40,2017,0
40,2018,0
40,2019,8.59E-06
40,2020,0
40,2021,8.92E-06
42,2014,0
42,2015,0
42,2016,0
42,2017,0
42,2018,0
42,2019,0
42,2020,0
42,2021,0
45,2014,0
45,2015,0
45,2016,0
45,2017,0
45,2018,0
45,2019,0
45,2020,0
45,2021,0
48,2014,0
48,2015,0
48,2016,0
48,2017,0
48,2018,0
48,2019,0
48,2020,0
48,2021,0
49,2014,0
49,2015,0
49,2016,0
49,2017,0
49,2018,0
49,2019,0
49,2020,0
49,2021,0
50,2014,0
50,2015,1.13E-05
50,2016,0
50,2017,0
50,2018,8.29E-06
50,2019,0
50,2020,0
50,2021,0
55,2014,0
55,2015,2.79E-05
55,2016,6.25E-05
55,2017,3.57E-05
55,2018,6.19E-05
55,2019,5.78E-05
55,2020,3.91E-05
55,2021,2.81E-05
56,2014,0
56,2015,0
56,2016,0
56,2017,0
56,2018,0
56,2019,0
56,2020,0
56,2021,0
58,2014,0
58,2015,0
58,2016,0
58,2017,0
58,2018,0
58,2019,0
58,2020,0
58,2021,0
59,2014,0
59,2015,0
59,2016,0
59,2017,0
59,2018,0
59,2019,2.76E-05
59,2020,2.75E-05
59,2021,1.32E-05
60,2014,0
60,2015,7.52E-06
60,2016,9.04E-06
60,2017,0
60,2018,2.36E-05
60,2019,1.63E-05
60,2020,1.62E-05
60,2021,1.48E-05
61,2014,0
61,2015,0
61,2016,0
61,2017,0
61,2018,0
61,2019,0
61,2020,0
61,2021,0
62,2014,0
62,2015,0
62,2016,0
62,2017,0
62,2018,0
62,2019,0
62,2020,0
62,2021,0
63,2014,0
63,2015,0
63,2016,0
63,2017,0
63,2018,0
63,2019,0
63,2020,0
63,2021,0
65,2014,2.01E-05
65,2015,0.00015562
65,2016,8.13E-05
65,2017,0.000192438
65,2018,0.000110069
65,2019,0.000201098
65,2020,0.000120789
65,2021,0.000117061
66,2014,0
66,2015,0
66,2016,0
66,2017,0
66,2018,0
66,2019,0
66,2020,8.05E-06
66,2021,0
68,2014,0
68,2015,0
68,2016,0
68,2017,0
68,2018,0
68,2019,0
68,2020,0
68,2021,0
69,2014,0
69,2015,1.07E-05
69,2016,0
69,2017,1.08E-05
69,2018,0
69,2019,0
69,2020,0
69,2021,0
70,2014,1.20E-05
70,2015,1.09E-05
70,2016,3.41E-05
70,2017,1.10E-05
70,2018,0
70,2019,9.36E-06
70,2020,0
70,2021,1.02E-05
78,2014,0
78,2015,0
78,2016,0
78,2017,0
78,2018,0
78,2019,0
78,2020,0
78,2021,0
88,2014,2.78E-05
88,2015,4.20E-05
88,2016,2.63E-05
88,2017,3.78E-05
88,2018,1.21E-05
88,2019,1.23E-05
88,2020,1.12E-05
88,2021,0
89,2014,0
89,2015,1.16E-05
89,2016,2.58E-05
89,2017,1.16E-05
89,2018,4.48E-05
89,2019,3.15E-05
89,2020,9.91E-06
89,2021,0
90,2014,0
90,2015,8.84E-06
90,2016,1.66E-05
90,2017,2.09E-05
90,2018,4.12E-05
90,2019,2.03E-05
90,2020,8.10E-06
90,2021,1.18E-05
96,2014,0
96,2015,0
96,2016,0
96,2017,0
96,2018,0
96,2019,0
96,2020,0
96,2021,0
99,2014,0
99,2015,0
99,2016,0
99,2017,1.30E-05
99,2018,1.34E-05
99,2019,1.24E-05
99,2020,0
99,2021,0
100,2014,6.79E-06
100,2015,2.19E-05
100,2016,0
100,2017,0
100,2018,7.17E-06
100,2019,0
100,2020,0
100,2021,0
150,2014,0
150,2015,0
150,2016,0
150,2017,0
150,2018,0
150,2019,0
150,2020,0
150,2021,0
151,2014,1.45E-05
151,2015,7.86E-05
151,2016,4.82E-05
151,2017,9.28E-05
151,2018,0.000119437
151,2019,6.23E-05
151,2020,6.25E-05
151,2021,9.30E-06
153,2014,0
153,2015,0
153,2016,0
153,2017,0
153,2018,1.32E-05
153,2019,0
153,2020,0
153,2021,0
155,2014,0
155,2015,0
155,2016,0
155,2017,0
155,2018,0
155,2019,0
155,2020,0
155,2021,0
156,2014,0
156,2015,0
156,2016,0
156,2017,1.23E-05
156,2018,0
156,2019,0
156,2020,0
156,2021,0
157,2014,4.04E-05
157,2015,6.05E-05
157,2016,6.66E-05
157,2017,9.28E-05
157,2018,7.58E-05
157,2019,5.74E-05
157,2020,3.91E-05
157,2021,4.55E-05
158,2014,0
158,2015,1.20E-05
158,2016,2.27E-05
158,2017,1.12E-05
158,2018,1.09E-05
158,2019,1.90E-05
158,2020,1.14E-05
158,2021,1.07E-05
159,2014,1.33E-05
159,2015,1.42E-05
159,2016,4.09E-05
159,2017,1.22E-05
159,2018,1.15E-05
159,2019,1.07E-05
159,2020,1.10E-05
159,2021,0
301,2014,0
301,2015,0
301,2016,0
301,2017,0
301,2018,1.06E-05
301,2019,2.27E-05
301,2020,2.20E-05
301,2021,0
333,2014,0
333,2015,0
333,2016,0
333,2017,0
333,2018,9.26E-06
333,2019,0
333,2020,0
333,2021,7.12E-06
338,2014,1.92E-05
338,2015,1.94E-05
338,2016,9.65E-06
338,2017,1.87E-05
338,2018,2.23E-05
338,2019,1.49E-05
338,2020,7.51E-06
338,2021,0
400,2014,5.24E-05
400,2015,1.41E-05
400,2016,2.63E-05
400,2017,4.18E-05
400,2018,1.40E-05
400,2019,1.20E-05
400,2020,0
